"old","new"
"civet","Viverridae_spp"
"civet_sp","Viverridae_spp"
"unknown_civet","Viverridae_spp"
"clouded_leopard","Neofelis_nebulosa"
"common_palm_civet","Paradoxurus_hermaphroditus"
"common_porcupine","Hystrix_brachyura"
"common_porcupine_","Hystrix_brachyura"
"coucal","Centropus_sp."
"crested_fireback","Lophura_ignita"
"crested_macaque","Macaca_nigra"
"crested_partridge","Rollulus_rouloul"
"crested_serpent_eagle","Spilornis_cheela"
"serpent_eagle","Spilornis_cheela"
"crestless_fireback","Lophura_erythrophthalma"
"crimson-headed_partridge","Haematortyx_sanguiniceps"
"crimson-winged_woodpecker","Picus_puniceus"
"crimson_winged_woodpecker","Picus_puniceus"
"cuscus","Phalangeridae_spp"
"dog","Domestic_Canis_lupus_familiaris"
"drummer_rail","Habroptila_wallacii"
"dusky_scrubfowl","Megapodius_freycinet"
"dwarf_cassowary","Casuarius_bennetti"
"Echinosorex_gymnurus","Echinosorex_gymnura"
"elephant","Elephas_maximus"
"Elephas_Maximus","Elephas_maximus"
"emerald_dove","Chalcophaps_indica"
"feral_pig","Sus_sp."
"flat-headed_cat","Prionailurus_planiceps"
"four-striped_ground_squirrel","Lariscus_hosei"
"frogmouth","Podargidae_spp"
"frogmouth_sp","Podargidae_spp"
"giant_skink","Scincidae_spp"
"goliath_coucal","Centropus_goliath"
"goshawk","Accipiter_gentilis"
"great_argus","Argusianus_argus"
"grizzled_tree_kangaroo","Dendrolagus_inustus"
"ground_cuscus","Phalanger_gymnotis"
"homo_sapien","Homo_sapiens"
"hooded_pitta","Pitta_sordida"
"horse-tailed_squirrel","Sundasciurus_hippurus"
"horse_tailed_squirrel","Sundasciurus_hippurus"
"hoses_civet","Diplogale_hosei"
"hoses_langur","Presbytis_hosei"
"hoses_langur_","Presbytis_hosei"
"house_cat","Felis_catus"
"human_hunter","Homo_sapiens_poacher"
"human_tourist","Homo_sapiens_tourist"
"human_hunter_","Homo_sapiens_poacher"
"human_tourist_","Homo_sapiens_tourist"
"human_unsorted","Homo_sapiens"
"ivory-breasted_pitta","Pitta_maxima"
"javan_deer","Rusa_timorensis"
"javan_rusa","Rusa_timorensis"
"jungle_fowl","Gallus_gallus"
"leopard_cat","Prionailurus_bengalensis"
"little_heron","Butorides_striata"
"long-tailed_macaque","Macaca_fascicularis"
"long-tailed_porcupine","Trichys_fasciculata"
"MAcaca_nemestrina","Macaca_nemestrina"
"macaque","Macaca_sp."
"malay_badger","Mydaus_javanensis"
"malay_civet","Viverra_tangalunga"
"maleo","Macrocephalon_maleo"
"marbled_cat","Pardofelis_marmorata"
"maroon_langur","Presbytis_rubicunda"
"maroon_langur_","Presbytis_rubicunda"
"masked_palm_civet","Paguma_larvata"
"mongoose","Herpestes_sp."
"mongoose_collared","Herpestes_semitorquatus"
"collared_mongoose","Herpestes_semitorquatus"
"mongoose_short-tailed","Herpestes_brachyurus"
"monitor_lizard","Varanus_sp."
"moonrat","Echinosorex_gymnura"
"mountain_ground_squirrel","Xerus_princeps?_prob.wrong"
"mousedeer","Tragulus_sp."
"muntjac","Muntiacus_muntjak"
"muntjac_red","Muntiacus_muntjak"
"muntjac_yellow","Muntiacus_atherodes"
"yellow_muntjac","Muntiacus_atherodes"
"new_guinea_scrubfowl","Megapodius_decollatus"
"nicobar_pigeon","Caloenas_nicobarica"
"northern_cassowary","Casuarius_unappendiculatus"
"orangutan","Pongo_pygmaeus"
"otter","Lutrinae"
"otter_civet","Cynogale_bennettii"
"Civet_otter","Cynogale_bennettii"
"pangolin","Manis_javanica"
"Paradoxurus_hermaphrodit","Paradoxurus_hermaphroditus"
"partridge","Phasianidae_spp"
"pheasant","Phasianidae_spp"
"philippine_megapode","Megapodius_cumingii"
"pig","Sus_sp."
"pig-tailed_macaque","Macaca_nemestrina"
"pig_tailed_macaque","Macaca_nemestrina"
"pitta","Pittidae_spp"
"Bird_Pitta","Pittidae_spp"
"porcupine","Hystrix_brachyura"
"prevosts_squirrel","Callosciurus_prevostii"
"rat","Rodent"
"rat_cuscus","Rodent_or_marsupial"
"red-bellied_pitta","Erythropitta_sp."
"red-breasted_partridge","Arborophila_hyperythra"
"red-legged_brushturkey","Talegalla_jobiensis"
"red_jungle_fowl","Gallus_gallus"
"Rusa_Unicolor","Rusa_unicolor"
"sambar","Rusa_unicolor"
"skink","Scincidae_spp"
"songbird","Passeriformes"
"Piciformes?","Piciformes"
"spotted_giant_flying_squirrel","Petaurista_elegans"
"squirrel","Sciuridae_spp"
"stephans_dove","Chalcophaps_stephani"
"striped_possum","Dactylopsila_trivirgata"
"sulawesi_ground_dove","Gallicolumba_tristigmata"
"Sulawesi_ground_dove","Gallicolumba_tristigmata"
"sun_bear","Helarctos_malayanus"
"Syvilagus_sp.","Sylvilagus_sp."
"tabon_scrubfowl","Megapodius_cumingii"
"tailless_bandicoot","tailless_bandicoot?"
